COD_ACCIDE;FechaDelAccidente;HoraDelAccidente;ClaseDelAccidente;SecuenciaAccidente;CantidadDeFallecidos;CantidadDeLesionados;Direccion;LugarReferencia;y;x;CondClimatica;CausaFactorPrincipal;CausaEspecifica;OtraCausa;Observaciones
A-2021-08-266;22/08/2021;22:10;DESPISTE;CON CONSECUENCIA DE MUERTE ;1;0;KM.7;DESVIO HACIA EL NORTE DE LA CARRETERA DE PENETRACION PATIVILCA-CAJATAMBO;-10.65694928;-77.72010684803666;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-08-268;23/08/2021;11:00;DESPISTE;DE CONSECUENCIA FATAL Y DAÑOS MATERIALES ;1;2;DISTRITO SAN JOSE DE QUERO  KM. 253 200;CENTRO  POBLADO CHAQUICOCHA - CHUPACA ;-12.02837173;-75.49696083;SOLEADO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;;NINGUNA 
A-2021-08-269;28/08/2021;18:45;DESPISTE;VOLCADURA;2;3;KM 50;ANEXO DE CCOCHAPATA;-14.14881034;-69.66047357118119;NUBLADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;NINGUNA 
A-2021-08-27;06/08/2021;21:00;ATROPELLO;CON APLASMIENTO Y CHOQUE;1;0;CARRETERA ALLPASH - HUACAYBAMBA - HUACAYBAMBA KM 6  750;LUGAR DENOMINADO GARGAHUAIN;-9.210169251;-76.94633119681846;DESPEJADO;NO IDENTIFICA LA CAUSA;;;SE ENCUENTRA EN INVESTIGACION
A-2021-08-270;30/08/2021;23:30;ATROPELLO FUGA;ATROPELLO CON ARRASTRAMINETO CON SUB SECUENTE MUERTE;1;0;CARRETERA DE PENATRACION AREQUIPA KM.32-500;EL CURAL;-16.408352;-71.611134;DESPEJADO;IMPRUDENCIA DEL PEATÓN;CRUCE INDEBIDO POR LA CALZADA;;SIN OBSERVACIONES
A-2021-08-271;24/08/2021;23:29;CHOQUE;EL VEHÍCULO M3 - CLASE III, ÓMNIBUS DE PLACA DE RODAJE F2W-966,  CIRCULABA POR LA CARRETERA PANAMERICANA NORTE EN SENTIDO DE SUR A NORTE, AL LLEGAR A LA AV. PERALBILLO, IMBADE EL CARRIL CONTRARIO, IMPACTANDO FRONTALMENTE AL VEHÍCULO CATG. L3 - MOTOCICLETA DE PLACA DE RODAJE A5-0088.;1;0;AV. PERALVILLO CDRA. 31 (EX CARRETERA PANAMERICANA NORTE);CENTRO POBLADO PERALVILLO -  HUALMAY;-11.078665;-77.597574;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;INVASIÓN DE CARRIL;;NINGUNA
A-2021-08-272;08/08/2021;02:40;ATROPELLO FUGA;PEATONES CRUZABAN LA ANTIGUA CARRETERA PANAMETICANA NORTE EN SENTIDO DE ESTE A OESTE, AL LLEGAR AL CARRIL DE CIRCULACIÓN OESTE, SON IMPACTADOS POR EL VEHÍCULO EN PROCESO DE IDENTIFICACIÓN.;1;1;INTERSECCIÓN DE LA AV. ANTIGUA CARRETERA PANAMERICANA NORTE CON LA CALLE PUQUIO CANO;PUQUIO CANO;-11.100064;-77.596177;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;NINGUNA
A-2021-08-273;17/08/2021;15:10;CHOQUE;EL VEHÍCULO L3, DE PLACA DE RODAJE 3212-2H,  ERA CONDUCIDO POR LA AV. FELIX B. CARDENAS  EN SENTIDO DE NORTE A SUR, AL LLEGAR A LA ZONA DEL ACCIDENTE EL VEHÍCULO NO MOTORIZADO HACE CAMBIO DE DIRECCIÓN SIENDO IMPACTADA POR EL VEHICULO L3.  ;1;0;AV. FELIX B. CARDENAS CDRA. 1;FRONTIS DEL INMUEBLE N° 141;-11.096769;-77.594687;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;NINGUNA
A-2021-08-274;08/08/2021;04:40;CHOQUE;EL VEHÍCULO AUTOMÓVIL DE PLACA DE RODAJE ABX-050, SE DIRIGÍA POR LA AV. TUPAC AMARU EN SENTIDO DE ESTE A OESTE, AL LLEGAR A LA INTERSECCIÓN CON LA AV. LA PAZ, ES IMPACTADO EN SU TERCIO LATERAL IZQUIERDO, TERCIO ANTERIOR POR EL VEHÍCULO CATG. L3 DE PLACA DE RODAJE 4142-EB;1;0;INTERSECCIÓN DE LAS AV. TUPAC AMARU Y AV. LA PAZ - HUACHO;AV. TUPAC AMARU CDRA. N° 2;-11.107406;-77.598784;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;;NINGUNA
A-2021-08-275;13/08/2021;00:00;DESPISTE;EL VEHÍCULO CATG. L5, DE PLACA DE RODAJE 4512-9F, SE DIRIGÍA DEL C.P. AYARPONGO CON DESTINO A CHURÍN, EN EL TRAYECTO EL VEHÍCULO SE DESPISTA.;1;1;AV. LOS ÁNGELES C.P . AYARPONGO - PACHANGARA - OYÓN.;AV. LOS ÁNGELES;-10.79902;-76.877347;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;NINGUNA
A-2021-08-276;17/08/2021;06:40;DESPISTE;EL VEHÍCULO L3, DE PLACA 3575-2T, SE DIRIGÍA DE SUR A NORTE POR LA CARRETERA PANAMERICANA NORTE, AL LLEGAR AL OVALO DE RIO SECO - SAYÁN, SE DESPISTA, FALLECIENDO SU CONDUCTOR EN EL LUGAR.;1;0;CARRETERA PANAMERICANA NORTE;KM 103;-11.41547062;-77.3721247536458;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;NINGUNA
A-2021-08-283;06/08/2021;13:30;DESPISTE;SEGUIDO DE VOLCADURA CON CONSECUENCIA FATAL, LESIONES PERSONALES Y DAÑOS MATERIALES. ;1;0;CARRETERA PANAMERICANA SUR KM. 1114.200 ;KM 1114.200 ;-17.266918;-71.190611;;;;;
A-2021-08-284;17/08/2021;11:30;DESPISTE;SEGUIDO DE VOLCADURA CON CONSECUENCIA FATAL, LESIONES PERSONALES Y DAÑOS MATERIALES. ;1;1;CAMINO VARIANTE PAPUJUNE - QUEBRADA CALIENTES ;ANTES DEL ACCESO A LA COMUNIDAD CALIENTES DEL CAMPAMENTO MINERO QUELLAVECO. ;-17.12056183;-70.6710945814848;;;;;
A-2021-08-287;31/08/2021;02:20;ATROPELLO FUGA;-;1;0;AVENIDA SALVADOR PEÑA Y CALLE ALBERTO EUSEBIO;FRENTE AL ESTADIO MUNICIPAL;-6.641086;-79.798505;DESPEJADO;NO IDENTIFICA LA CAUSA;;;ACCIDENTE EN INVESTIGACION
A-2021-08-288;30/08/2021;16:45;CHOQUE;DE CONSECUENCI 'FATAL Y DAÑOS MATERIALES ;1;0;CARRETERA PUENTE PACHACAYO - CANCHAYLLO - JAUJA ;;-11.783337;-75.716934;DESPEJADO;NO IDENTIFICA LA CAUSA;;;NINGUNA
A-2021-08-289;10/08/2021;12:00;CHOQUE;DESPISTE;1;0;KM. 882 300 DE LA CARRETERA PANAMERICANA SUR;-----;-16.52672749;-72.47583574;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-08-290;24/08/2021;19:00;ATROPELLO FUGA;;1;0;AV. MORALES DUAREZ C-8 ( ALTURA MZ .P AA.HH GAMBETTA BAJA OESTE );;-12.04008653;-77.11817511604997;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;NIUGNA
A-2021-08-291;02/08/2021;06:00;CHOQUE;CHOQUE POR ALCANSE;1;2;CARRTERA SULLANA - PIURA;KM 21 500 - SECTOR CURUMUY;-5.01321;-80.70007;DESPEJADO;NO IDENTIFICA LA CAUSA;;;CHOQUE 
A-2021-08-292;02/08/2021;19:20;CHOQUE;CHOQUE FRONTAL;2;0;CARRETERA SULLANA - PAITA;KM 31 ALTURA DEL DISTRITO LA HUACA ;-4.9167;-80.95936;DESPEJADO;NO IDENTIFICA LA CAUSA;;;CHOQUE, SE INVESTIGA
A-2021-08-293;08/08/2021;13:20;CHOQUE;CHOQUE FRONTAL;1;0;CARRETERA PANAMERICANA NORTE SULLANA - PIURA;ALTURA DEL GRIFO PETRO PERU;-4.91808;-80.69704;DESPEJADO;NO IDENTIFICA LA CAUSA;;;CHOQUE, SE INVESTIGA
A-2021-08-294;09/08/2021;00:00;DESPISTE;DESPISTE, CHOQUE Y VOLCADURA;4;0;VIA CARROZABLE PAIMAS - AYABACA ;SECTOR ARREYPITE BAJO - AYABACA;-4.707886182;-79.8152446530959;NUBLADO;NO IDENTIFICA LA CAUSA;;;DESPISTE, SE INVESTIGA
A-2021-08-295;16/08/2021;16:40;CHOQUE;CHOQUE FRONTAL;1;0;CARRETERA PANAMERICANA NORTE ;KM 23 300 - SAN JACINTO;-4.847456;-80.862573;DESPEJADO;NO IDENTIFICA LA CAUSA;;;CHOQUE SE INVESTIGA
A-2021-08-296;21/08/2021;09:30;CHOQUE;CHOQUE MULTIPLE;1;0;CARRETERA SULLANA - PAITA;ALTURA KM 18;-4.91742;-80.8442;DESPEJADO;NO IDENTIFICA LA CAUSA;;;CHOQUE, SE INVESTIGA 
A-2021-08-297;30/08/2021;04:30;CHOQUE;CHOQUE;1;0;CARRETERA LANCONES - ALAMOR;ALTURA DEL KM 44;-4.590882927;-80.52013984767824;DESPEJADO;NO IDENTIFICA LA CAUSA;;;CHOQUE, SE INVESTIGA LA CAUSA
A-2021-08-298;30/08/2021;12:30;DESPISTE;DESPISTE ;3;0;CARRETERAS LAS LOMAS - SUYO;ALTUIRA DEL KM 1116;-4.610036365;-80.20189582280238;DESPEJADO;NO IDENTIFICA LA CAUSA;;;DESPISTE SE INVESTIGA 
A-2021-08-299;22/08/2021;19:12;CHOQUE;CHOQUE ;1;0;CARRETERA TALARA - NEGRITOS;NEGRITOS;-4.6196373;-81.2889006;DESPEJADO;NO IDENTIFICA LA CAUSA;;;ACCIDENTE SEINVESTIGA 
A-2021-08-3;01/08/2021;17:30;CHOQUE;EXCENTRICO IZQUIERDO;1;0;CARRETERA HUARAZ - PATIVILCA KM 552   800;ALTURA DE LA GRUTA SAN PATRICIO;-9.72379197;-77.45699374041939;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;INVASIÓN DE CARRIL;;NINGUNA
A-2021-08-30;09/08/2021;20:40;CHOQUE;FRONTAL VERTICE IZQUIERDO;1;1;CARRETERA PANAMERICANA SUR KM. 464;-;-14.9557571;-74.9865888;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;INVASIÓN DE CARRIL;;
A-2021-08-300;28/08/2021;17:30;DESPISTE;-;1;1;CARRETERA CENTRAL PASCO -HUANUCO;-;-10.64858168;-76.16596516813496;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;
A-2021-08-302;31/08/2021;18:30;CHOQUE;-;1;0;CARRETERA PENETRACION CHICLAYO - SAN JOSE;KM 3 900;-6.771371366;-79.91116035022267;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-08-303;11/08/2021;06:30;DESPISTE;DESPISTE CHOQUE , VOLCADURA Y CAIDA DE CONDUCTOR CON CONSECUENCIA FATAL.;1;0;CARRETERA DE PENETRACION CONDORMARCA - SUMARAN SAN FRANSISCO DE CAYRAN;S/N;-9.980892;-76.287845;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;S7O
A-2021-08-304;23/08/2021;12:30;DESPISTE;DESPISTE-VOLCADURA DE CONSECUENCIA FATAL Y DAÑOS MATERIALES;2;0;CARRETERA ACOBAMBA - SAN RAFAEL KM. 61 300;S/N;-10.387709;-76.18826;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;S/O
A-2021-08-305;27/08/2021;11:00;ATROPELLO;ATROPELLO POR COMPRESION Y DE CONSECUENCIA FATAL;1;0;PASAJE HUAMASH - PREDIO TINGO;S/N;-9.938857;-76.255321;DESPEJADO;IMPRUDENCIA DEL PEATÓN;OTRO (IMPRUDENCIA DEL PEATÓN);AL NO ADOPTAR SUS MEDIDAS DE SEGURIDAD CUANDO EL VEHICULO HACIA SU RECORRIDO DE RETROCESO;S/O
A-2021-08-306;29/08/2021;20:40;DESPISTE;DESPISTE - ATROPELLO SEGUIDO DE LESIONES - VOLCADURA - CAIDA DE CONDUCTOR CON SUBSECUENTE MUERTE;1;1;CARRETERA HUANUCO - AEROPUERTO;S/N;-9.885073;-76.222202;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;S/O
A-2021-08-307;29/08/2021;23:00;CHOQUE;CHOQUE - VOLCADURA CAIDA DE CONDUCTOR CON SUBSECUENTE MUERTE;1;1;CARRETERA CENTRAL - AMARILIS;PARADERO 15;-9.9471;-76.243748;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;S/O
A-2021-08-308;05/08/2021;05:45;DESPISTE;SEGUIDO DE VOLCADURA;1;0;CARRETERA PANAMERICANA NORTE KM 240.00;-;-9.999281556;-78.18488797955541;DESPEJADO;NO IDENTIFICA LA CAUSA;;;NINGUNA
A-2021-08-309;12/08/2021;01:40;CHOQUE;-;3;0;CARRETERA PANAMERICANA NORTE KM 331 200;-;-10.01897648;-78.1714024188635;DESPEJADO;NO IDENTIFICA LA CAUSA;;;NINGUNA
A-2021-08-31;10/08/2021;21:30;ATROPELLO FUGA;-;1;0;CARRETERA DE ACCESO ILAVE - PANTIHUECO;AL FRENTE DE LA MUNICIPALIDAD DEL C.P. PATINHUECO;-16.18494058;-69.5837063535021;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);EXCESO DE CONFIANZA, SIN TOMAR EN CUENTA LA PRESENCIA DE LAS PERSONAS A SU ALREDEDOR.;
A-2021-08-310;12/08/2021;19:20;ATROPELLO FUGA;-;1;0;AV. CAMINO REAL  CDRA. 03;-;-9.07462448;-78.58308961766097;DESPEJADO;NO IDENTIFICA LA CAUSA;;;NINGUNA
A-2021-08-311;16/08/2021;10:40;DESPISTE;;1;0;CAMINO CARROZABLE; AA. HH. LOS ÁLAMOS;-9.020311237;-78.61246961957714;DESPEJADO;NO IDENTIFICA LA CAUSA;;;NINGUNA
A-2021-08-312;17/08/2021;19:00;ATROPELLO;FATAL;1;0;AV. PACIFÍCO;ALTURA DE CALDAS E.I.R.L.;-9.11129264;-78.54607000464127;DESPEJADO;NO IDENTIFICA LA CAUSA;;;NINGUNA
A-2021-08-313;26/08/2021;14:15;DESPISTE;SEGUIDO DE VOLCADURA;1;0;CARRETERA PANAMERICANA NORTE KM 392 300;;-9.397139068;-78.37755124469402;DESPEJADO;NO IDENTIFICA LA CAUSA;;;NINGUNA
A-2021-08-315;08/08/2021;19:30;CAÍDA DE PASAJERO;;1;1;RAYOSCCAPAMPA COMUNIDAD QUEUÑA;CARRETERA CHALHUAHUACHO-ABANCAY;-14.14812892;-72.29347077496062;;;;;
A-2021-08-317;26/08/2021;10:00;CHOQUE;;2;0;CARRETERA FERNANDO BELAUNDE TERRY NORTE KM 587;;-6.43085273;-76.51414811194472;SOLEADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;NINGUNA
A-2021-08-318;21/08/2021;07:30;CHOQUE;LATERAL POSITIVO, SEGUIDO DE VOLCADURA;1;0;CARRETERA FERNANDO BELAUNDE TERRY KM 666;;-6.915948;-76.331708;SOLEADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;NINGUNO
A-2021-08-319;22/08/2021;16:30;CHOQUE;VOLCADURA - DESPISTE;1;0;CARRETERA FBT NORTE KM 586 700;;-6.4786;-76.5049;SOLEADO;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE;;NINGUNO
A-2021-08-32;11/08/2021;09:00;DESPISTE;VOLCADURA;1;0;CARRETERA DE ACCESO AL CENTRO POBLADO DE CORARACA ;SECTOR PALLALLAQUE;-16.09453657;-69.62836501823872;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;
A-2021-08-320;08/08/2021;08:00;CHOQUE;;1;0;CARRETERA FBT KM.590 ;LAMAS;-6.424076411;-76.51867457146695;LLUVIOSO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;NINGUNO
A-2021-08-321;04/08/2021;03:03;CHOQUE;POR EMBISTE, CAIDA DE PASAJERO, SEGUIDO DE ATROPELLO CON APLASTAMIENTO Y ARRASTAMIENTO.;1;2;INTERSECCION DEL JR. TUPAC AMARU CON JR. RAMON CASTILLA;JURISDICCION DE LA CPNP TARAPOTO;-6.484362;-76.372188;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);NO RESPETO LA SEÑAL REGULADORA PARE;NINGUNO
A-2021-08-322;03/08/2021;06:31;DESPISTE;SEGUIDO DE VOLCADURA;1;4;CARRETERA FERNANDO BELAUNDE TERRY. ALTURA DEL KM 643 300;;-6.49832;-76.340749;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;NINGUNA
A-2021-08-323;28/08/2021;09:20;CHOQUE;FATAL;1;0;CARRETERA PENETRACIÓN MORO PAMPAROMAS KM. 36 800;-;-9.091959166;-78.0339889407942;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;INVASIÓN DE CARRIL;;NINGUNA
A-2021-08-325;15/08/2021;12:00;DESPISTE;DESPISTE CON CONSECUENCIA FATAL;1;0;PICHIRHUA;KM 409 600 PICHIRHUA;-13.897412;-73.045318;;;;;
A-2021-08-326;22/08/2021;19:30;DESPISTE;DESPISTE CON CONSECUENCIA FATAL;1;0;CASINCHIHUA;SECTOR PICHIRHUA;-13.788102;-72.947077;;;;;
A-2021-08-327;24/08/2021;04:00;DESPISTE;VOLCADURA;1;1;KM. 611 DE LA CARRETERA CARROZABLE FUNDO TODA UNA VIDA;---;-15.8354018;-74.28632532759525;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-08-328;30/08/2021;18:30;CHOQUE;DESPISTE Y VOLCADURA;2;1;KM. 894 670 DE LA CARRETERA PANAMERICANA SUR;PAMPA CHILENOS;-16.49537879;-72.40047620927999;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-08-329;30/08/2021;07:30;DESPISTE;VOLCADURA;5;1;CARRETERA CUMBA CORRAL QUEMADO;KM 13;-5.900512;-78.685466;LLUVIOSO;NO IDENTIFICA LA CAUSA;;;ACCIDENTE EN INVESTIGACION
A-2021-08-330;09/08/2021;15:05;CHOQUE;-;2;3;CARRETERA CHACHAPOYAS LEYMEBAMBA;-;-6.3665074;-77.9123043;DESPEJADO;NO IDENTIFICA LA CAUSA;;;SE INVESTIGA
A-2021-08-332;17/08/2021;08:15;CHOQUE FUGA;CHOQUE POR ALCANCE CON LESIONES Y POSTERIOR MUERTE;1;10;AV ARGENTINA  CUADRA 6;AV ARGENTINA;-12.04456464;-77.073666116;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;SIN NOVEDAD 
A-2021-08-34;10/08/2021;14:20;CHOQUE;SUBSECUENTE MUERTE;2;4;KILOMETRI 121.800 DE LA CARRETERA AREQUIPA IMATA;HITO 121;-16.0533172;-71.3398551;DESPEJADO;NO IDENTIFICA LA CAUSA;;;SIN OBSERVACIONES
A-2021-08-36;02/08/2021;06:30;DESPISTE;;1;0;KM.10 600.CARRETERA CASERIO YATUN AL CASERIO LLIPA. SECTOR SANTA ROSA DE TAPO;;-6.32453046;-78.78396314;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-08-47;11/08/2021;15:00;CHOQUE;Y VOLCADURA;1;0;CARRETERA ACORA - TOTORANI - LAMPARANI KM 4 100;-;-16.01636349;-69.74656868360596;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;DESACATO DE SEÑAL DE TRÁNSITO;;
A-2021-08-51;04/08/2021;18:45;CHOQUE;MUERTE;1;1;CARRETERA PANAMERICANA NORTE ALTURA DEL KM. 716;-;-7.168367;-79.440414;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;;
A-2021-08-52;07/08/2021;09:30;CHOQUE;;1;2;KM. 4 795 CARRETERA QUE CONDUCE DEL CASERIO CUÑACALESVAL CASERIO MARCO PATA;;-6.71807833;-78.470115;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN SENTIDO CONTRARIO;;
A-2021-08-53;05/08/2021;19:10;ATROPELLO FUGA;MUERTE;1;0;CARRETERA PANAMERICANA NORTE ALTURA DEL KM. 571;-;-8.128608;-79.072843;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-08-54;02/08/2021;10:30;DESPISTE;TOTAL Y VOLCADURA ;1;3;CARRETERA CHINCHA-HUANCAVELICA;KM. 201 50;-13.12087699;-75.5427216953769;DESPEJADO;NO IDENTIFICA LA CAUSA;;;FALTA DE DOCUMENTACION
A-2021-08-56;05/08/2021;16:05;ATROPELLO;POR APLASTAMIENTO;1;0;JR. LIBERTADORES A.A.H.H. SELVA VERDE - NUEVO AMANECER;ULTIMA CUADRA DEL JR. LOS LIBERTADORES;-8.362339271;-74.55228384526;DESPEJADO;IMPRUDENCIA DEL PEATÓN;OTRO (IMPRUDENCIA DEL PEATÓN);UT-2 (PEATON) TUVO PERCEPCIÓN DEL PELIGRO YA QUE LA UT-1 RETROCEDÍA;UT-2 (PEATÓN) SE ENCONTRABA TRAS LA UT-1
A-2021-08-57;14/08/2021;04:00;ATROPELLO FUGA;FUGA;1;0;CARRETERA BINACIONAL KM 275 300;-;-16.57931589;-69.23732047953027;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-08-58;06/08/2021;16:30;VOLCADURA;MUERTE;1;1;CARRETERA PANAMERICANA NORTE ALTURA DEL KM. 507;-;-8.486936;-78.695287;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);REDUCTOR DE VELOCIDAD;
A-2021-08-59;09/08/2021;05:45;ATROPELLO;MUERTE;1;0;CARRETERA PANAMERICANA NORTE ALTURA DEL KM. 521;-;-8.413602;-78.795044;DESPEJADO;IMPRUDENCIA DEL PEATÓN;CRUCE INDEBIDO POR LA CALZADA;;
A-2021-08-6;01/08/2021;07:20;VOLCADURA;EN TONEL IZQUIERDO;1;0;KM 55 550 CP CIUDAD DE DIOS - CAJAMARCA;;-7.253871;-79.079097;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD;;
A-2021-08-60;14/08/2021;22:00;CHOQUE;CON SUBSECUENTE VOLCADURA Y CAIDA;1;1;CARRETERA PANAMERICANA NORTE PIURA - SULLANA ;A LA ALTURA DEL CASERIO LAS MERCEDES ;-5.108808;-80.70334;DESPEJADO;;;;
A-2021-08-61;10/08/2021;00:38;ATROPELLO;MUERTE;1;0;CARRETERA PANAMERICANA NORTE ALTURA DEL KM. 680.5;FABRICA DE CEMENTO PACASMAYO;-7.401758;-79.558541;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);DESATENCION EN LA CONDUCCION;
A-2021-08-62;10/08/2021;07:20;ATROPELLO;MUERTE;1;0;INTERSECCION DE LA AV. 26 DE MARZO CON CA. 12 DE NOVIEMBRE ;-;-8.086057;-79.01804;DESPEJADO;NO IDENTIFICA LA CAUSA;;;
A-2021-08-63;11/08/2021;16:30;CHOQUE;MUERTE;1;0;AVENIDA TUPAC AMARU ALTURA DE LA CDRA. NRO. 1724;-;-8.087729;-79.039769;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;INVASIÓN DE CARRIL;;
A-2021-08-64;12/08/2021;17:30;ATROPELLO;MUERTE;1;0;CARRETERA PANAMERICANA NORTE ALTURA DEL KM. 701.3;CERRO AZUL;-7.260811;-79.488582;DESPEJADO;NEGLIGENCIA DEL CONDUCTOR;OTRO (NEGLIGENCIA DEL CONDUCTOR);INGRESAR DE MANERA INTEMPESTIVA;
A-2021-08-65;13/08/2021;19:10;CHOQUE;MUERTE;2;0;CARRETERA PANAMERICANA  NORTE ALTURA DEL KM. 450;-;-8.960879;-78.628476;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN;;
A-2021-08-66;14/08/2021;12:45;CHOQUE;MUERTE;1;0;INTERSECCION DE LA AV. 29 DE DICIEMBRE CON CA. PARAGUAY;-;-8.119951;-79.028736;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;NO ESTABLECER EL DERECHO DE PASO;;
A-2021-08-67;15/08/2021;12:30;CHOQUE;MUERTE;2;13;CARRETERA PANAMERICANA NORTE ALTURA DEL. 589.9;-;-7.905446;-79.117592;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);EXCESO DE CONFIANZA Y DESATENCION EN LA CONDUCCION - AUTOMOVIL;
A-2021-08-68;11/08/2021;10:45;ATROPELLO;SUBSECUENTE MUERTE;1;0;AV AVIACIÓN FRENTE A CENTRO COMERCIAL  AREQUIPA CENTER;CENTRO COMERCIAL AREQUIPA CENTER;-16.375537;-71.557688;DESPEJADO;NO IDENTIFICA LA CAUSA;;;S/O
A-2021-08-69;14/08/2021;07:50;DESPISTE;VOLCADURA;1;0;CARRETERA AREQUIPA ESPINAR KILOMETRO 8.500;HITO 8;-15.7107648;-71.0535778;DESPEJADO;NO IDENTIFICA LA CAUSA;;;IBAN DOS OCUPANTES MAS LAS CUALES NO RESULTARON LESIONADAS QUIENES SON: ERMINIA FLORES MOLINA POTOSI (32) Y AFNER YARON ALVIS MOLINA (03)
A-2021-08-70;15/08/2021;05:20;VOLCADURA;CHOQUE DESPISTE;4;8;KILOMETRO 101 DE LA CARRETERA AREQUIPA JULIACA;HITO 101;-16.0773788;-71.5119481;DESPEJADO;NO IDENTIFICA LA CAUSA;;;SIN OBSERVACIONES
A-2021-08-71;14/08/2021;18:30;CHOQUE;SUBSECUENTE MUERTE;1;0;LOS MOLLES PARCELA 362 - CARRETERA HACIA EL LUGAR DENOMINADO EL JARDIN;PARCELA 362 DE LOS MOLLES;-16.3644805;-72.1977814;DESPEJADO;NO IDENTIFICA LA CAUSA;;;SIN OBSERVACIONES
A-2021-08-76;07/08/2021;07:15;DESPISTE;TOTAL Y VOLCADURA;3;2;CARRETERA DEL ANEXO EL CORREGIDOR -TICRAPO;KM. 15 640;-13.46472979;-75.4726935919309;DESPEJADO;NO IDENTIFICA LA CAUSA;;;POR DETERMINAR A FALTA DE DILIGENCIAS
A-2021-08-77;15/08/2021;19:00;ATROPELLO FUGA;CON CONSECUENCIA FATAL;1;0;CARRETERA CATAC - HUARI;ALTURA DEL MUSEO CHAVIN DE HUANTAR;-9.592856963;-77.17860821232733;DESPEJADO;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR);IMPRUDENCIA DEL CONDUCTOR;NINGUNA
A-2021-08-78;17/08/2021;16:00;CHOQUE;;1;0;VIA DE EVITAMIENTO ;TERMINAL TERRESTRE DE CAMANÁ ;-16.63406;-72.69027;DESPEJADO;NO IDENTIFICA LA CAUSA;;;INVASIÓN DE CARRIL 
